GenotypeModel,AttributionModel,Source,UR2006_num,m,lci,uci,ucl,lcl
Island,Categorical,Other,2,0.004448720326278691,2.4802436634089874e-6,0.04344119121105092,0.013955537103455972,5.567397527413891e-4
Island,Categorical,Other,3,0.02993358113253001,1.2591110385614652e-5,0.06746710425929998,0.043102477412969444,0.012645135258641069
Island,Categorical,Poultry,-3,0.1549979986679315,0.016653013420158836,0.47546393037642176,0.25206503698852123,0.08341713411326733
Island,Categorical,Poultry,-2,0.31917619009636555,0.20536296523107142,0.4466217434995445,0.3608149466510559,0.2777098966975401
Island,Categorical,Poultry,-1,0.4267986095038534,0.31023893771549144,0.54769156207093594,0.4675939802486164,0.3861574649539964
Island,Categorical,Poultry,0,0.4979945486791537,0.3533026714936259,0.6394615746461216,0.5486052898746525,0.44826704866528666
Island,Categorical,Poultry,1,0.4401363758870044,0.34647330126725123,0.5333728448471244,0.47209029063974955,0.4085476160941099
Island,Categorical,Poultry,2,0.46046912391071065,0.3677303256768429,0.5567177160159122,0.4932260659765414,0.42746054708648096
Island,Categorical,Poultry,3,0.5915729247535233,0.5266148477226543,0.6553603987197338,0.6134390812237333,0.5696274439162152
Island,Categorical,Ruminants,-3,0.795003055375181,0.45765437721719776,0.9655019515051874,0.8777385380693984,0.6903128636966724
Island,Categorical,Ruminants,-2,0.6364173802667161,0.5095166563803277,0.7529001888835418,0.6773558315181515,0.5934716638523865
Island,Categorical,Ruminants,-1,0.5431115661216301,0.42339141352420695,0.6595645369399908,0.5832250877652728,0.5022680526284581
Island,Categorical,Ruminants,0,0.48699065242871065,0.34724675619646933,0.6321944081978618,0.5364660688747593,0.4378565137628347
Island,Categorical,Ruminants,1,0.5126570355129441,0.4213381840862996,0.6037384970234781,0.5430083518929021,0.4817507531761259
Island,Categorical,Ruminants,2,0.5152464966907332,0.4185277168359984,0.6072671534845514,0.54771959703897,0.4826521844148589
Island,Categorical,Ruminants,3,0.36348557241737905,0.30181962909371596,0.4270072371327332,0.38511013064055905,0.34153252682456164
Island,Categorical,Water,-3,0.019876907232035106,0.0018404698318493459,0.10435775446473862,0.038104922964937914,0.009215735871873292
Island,Categorical,Water,-2,0.028486727820595317,0.0010840996062916317,0.08637160949407621,0.04526275693854301,0.015066852233673229
Island,Categorical,Water,-1,0.014143443038642983,3.6508676168838373e-4,0.059001754395092997,0.026076593474382227,0.005701905888442565
Island,Categorical,Water,0,0.003962232090446339,9.736160743941765e-5,0.04310602634355065,0.01086233821358501,0.0012469106318420398
Island,Categorical,Water,1,0.01854400414498091,8.033711195952413e-4,0.0618266369611058,0.03204745416604357,0.00803087762973045
Island,Categorical,Water,2,0.012449071822751376,6.324398150887649e-4,0.04422884256506152,0.021010473429891628,0.006239915590874922
Island,Categorical,Water,3,0.010750646504375305,3.013524367551874e-4,0.05137485893084925,0.025381582659926027,0.003555889909178227
Island,Linear,Other,-3,0.004264344668429782,3.9226253799689535e-7,0.05378441014611178,0.01586727555577567,3.621248564644242e-4
Island,Linear,Other,-2,0.005691585807628578,2.516914661958472e-6,0.04750962527307853,0.01807265244641068,7.030747090901191e-4
Island,Linear,Other,-1,0.007625234964204924,1.3759038197988763e-5,0.045486193256813426,0.020758567711288683,0.001289922719824588
Island,Linear,Other,0,0.010439017915592742,5.242374036298888e-5,0.04508982005185325,0.02389952440233116,0.0024275383570935387
