identity,Age,UR2006_num,p,Source,GenotypeModel,AttributionModel
5903,0-5,2,0.382579380064074,Ruminants,Island,Linear
6097,0-5,2,0.2943548581510372,Ruminants,Island,Linear
6596,0-5,2,0.45273200192473384,Ruminants,Island,Linear
6982,0-5,2,0.3041383819573314,Ruminants,Island,Linear
7149,0-5,2,0.3783909290380158,Ruminants,Island,Linear
7724,0-5,2,0.3731841413242651,Ruminants,Island,Linear
8520,0-5,2,0.3748396206268014,Ruminants,Island,Linear
9054,0-5,2,0.31347104296229716,Ruminants,Island,Linear
9635,0-5,2,0.37803590435517703,Ruminants,Island,Linear
9903,0-5,2,0.395223193463789,Ruminants,Island,Linear
9996,0-5,2,0.30736161329336376,Ruminants,Island,Linear
358,0-5,1,0.5018422866250262,Ruminants,Island,Linear
1642,0-5,1,0.3100050636395015,Ruminants,Island,Linear
1685,0-5,1,0.40054206559282707,Ruminants,Island,Linear
2495,0-5,1,0.3112296720286757,Ruminants,Island,Linear
2765,0-5,1,0.46546159364121414,Ruminants,Island,Linear
3958,0-5,1,0.3466739517183438,Ruminants,Island,Linear
4322,0-5,1,0.43034312350473874,Ruminants,Island,Linear
4764,0-5,1,0.4758021092860949,Ruminants,Island,Linear
4832,0-5,1,0.47777406231721997,Ruminants,Island,Linear
5903,0-5,1,0.43715438176543037,Ruminants,Island,Linear
6097,0-5,1,0.3888518677280286,Ruminants,Island,Linear
6596,0-5,1,0.5434236261272203,Ruminants,Island,Linear
6982,0-5,1,0.4682665214359288,Ruminants,Island,Linear
7149,0-5,1,0.5345075660347709,Ruminants,Island,Linear
7724,0-5,1,0.5297939902747283,Ruminants,Island,Linear
8520,0-5,1,0.5329893895481278,Ruminants,Island,Linear
9054,0-5,1,0.4784193860730504,Ruminants,Island,Linear
9635,0-5,1,0.4699374532082921,Ruminants,Island,Linear
9903,0-5,1,0.47658900855673597,Ruminants,Island,Linear
9996,0-5,1,0.4161802388064456,Ruminants,Island,Linear
358,"[5, Inf)",-2,0.5720606610957084,Ruminants,Island,Linear
1642,"[5, Inf)",-2,0.5922156670568313,Ruminants,Island,Linear
1685,"[5, Inf)",-2,0.6110178461471274,Ruminants,Island,Linear
2495,"[5, Inf)",-2,0.6323430028856801,Ruminants,Island,Linear
2765,"[5, Inf)",-2,0.6301152666637032,Ruminants,Island,Linear
3958,"[5, Inf)",-2,0.6003249911793834,Ruminants,Island,Linear
4322,"[5, Inf)",-2,0.6415906306479205,Ruminants,Island,Linear
4764,"[5, Inf)",-2,0.7143935144037336,Ruminants,Island,Linear
4832,"[5, Inf)",-2,0.587985219208245,Ruminants,Island,Linear
5903,"[5, Inf)",-2,0.5369626174041432,Ruminants,Island,Linear
6097,"[5, Inf)",-2,0.6220413561156912,Ruminants,Island,Linear
6596,"[5, Inf)",-2,0.5512054550091743,Ruminants,Island,Linear
6982,"[5, Inf)",-2,0.6127114168139786,Ruminants,Island,Linear
7149,"[5, Inf)",-2,0.5728614244093724,Ruminants,Island,Linear
7724,"[5, Inf)",-2,0.6876882196964861,Ruminants,Island,Linear
8520,"[5, Inf)",-2,0.5817299586566537,Ruminants,Island,Linear
9054,"[5, Inf)",-2,0.6516809915869668,Ruminants,Island,Linear
9635,"[5, Inf)",-2,0.6034971732359264,Ruminants,Island,Linear
9903,"[5, Inf)",-2,0.6092181958193008,Ruminants,Island,Linear
9996,"[5, Inf)",-2,0.67313841774593,Ruminants,Island,Linear
358,0-5,-2,0.7480344555253008,Ruminants,Island,Linear
1642,0-5,-2,0.6381041142596555,Ruminants,Island,Linear
1685,0-5,-2,0.7977827033656291,Ruminants,Island,Linear
2495,0-5,-2,0.6131756243935973,Ruminants,Island,Linear
2765,0-5,-2,0.7405757470318033,Ruminants,Island,Linear
3958,0-5,-2,0.749545804899829,Ruminants,Island,Linear
