ST,Source,Model,m,lci,uci,ucl,lcl
4337,Poultry,Dirichlet,0.31563020596626123,0.08227028293954312,0.6857843835203858,0.47265271671215814,0.1868243356852454
4337,Poultry,Island,0.5220253286077,0.5089440297529396,0.5342366913246945,0.5273065924202952,0.5164814374270709
4337,Ruminants,Dirichlet,0.2731727427023287,0.04394505166963072,0.6581650656886147,0.43656361965966917,0.14349505296808282
4337,Ruminants,Island,0.41430204089237205,0.4026594848619444,0.425129961827345,0.4190257432446106,0.4094078443839899
4337,Water,Dirichlet,0.1602907062935477,0.006635429187288842,0.57615073655427,0.32628074764459547,0.05689677527956153
4337,Water,Island,0.038537808978502994,0.02481633362675668,0.05532302140320661,0.045466372468956295,0.03218787453945183
4338,Other,Dirichlet,0.17988325875623723,0.00683607441490344,0.6384695984836707,0.37043308772346906,0.06319925946783436
4338,Other,Island,0.013926252190880804,0.004174844327298971,0.029287766994033855,0.019912589701619212,0.008939797213299074
4338,Poultry,Dirichlet,0.10533619571174836,0.004211578919412057,0.4959259974915478,0.23773892087899845,0.033906488991162324
4338,Poultry,Island,0.017745653544022348,0.004506688316536676,0.03714699649414645,0.02555312526557687,0.01125960275309277
4338,Ruminants,Dirichlet,0.362593589992086,0.06330858711459054,0.7912598044457713,0.5618336989561503,0.19307736720730048
4338,Ruminants,Island,0.9088375444009333,0.8730072133545739,0.9403851543790211,0.9235547888331301,0.8935836219253526
4338,Water,Dirichlet,0.21315859523129677,0.009188651998195506,0.6853567510304239,0.41559796918524783,0.0733592450211146
4338,Water,Island,0.05766541435042944,0.03156419711009574,0.08932433584468395,0.071004143416268,0.04546220537880616
4339,Other,Dirichlet,0.4221732035814136,0.0792267569035274,0.8395897876100971,0.6214953972003321,0.23609779646642795
4339,Other,Island,0.8032056846656941,0.7527812649642538,0.8501964279862714,0.8244572868864992,0.7819176073774382
4339,Poultry,Dirichlet,0.10357150590170412,0.0037673351468031444,0.490205444923894,0.23230668188363285,0.03330615489093255
4339,Poultry,Island,0.025575158545649478,0.01278928849350122,0.04442863444813926,0.03307437574873867,0.019314517807715745
4339,Ruminants,Dirichlet,0.14337234420057304,0.005093664756038806,0.5725797165891828,0.3082325667079879,0.04802953182047358
