"ID" "Population" "Meshblock06" "CAU" "WaterZone" "Zone7"
879 123 1800900 24 6 5
880 66 1801300 24 6 6
881 48 1800700 24 6 5
882 150 1812200 31 6 3
883 69 1820300 29 6 5
884 120 1812400 31 6 6
885 174 1850200 26 6 3
886 123 1850300 26 6 3
887 129 1809500 25 6 6
888 147 1819303 27 6 5
889 72 1850400 26 6 3
890 84 1812000 23 6 3
891 21 1784405 30 9 1
892 66 1836200 37 6 6
893 93 1798600 21 2 3
894 195 1847000 35 6 7
895 39 1830800 32 6 6
896 24 1824200 34 6 6
897 75 1815600 38 6 5
898 72 1542300 36 10 3
899 99 1824300 34 6 6
900 81 1835200 37 6 6
901 177 1847500 35 6 3
902 168 1821400 38 6 7
903 78 1541800 36 10 3
904 129 1832100 41 6 7
905 135 1832500 41 6 7
906 222 1835700 37 6 7
907 141 1843000 39 6 7
908 138 1823700 34 6 7
909 138 1821301 38 6 7
910 117 1834700 37 6 7
911 72 1846300 35 6 7
912 174 1841201 39 6 7
913 9 1834300 41 6 7
914 171 1820802 38 6 7
915 96 1837000 40 6 7
916 111 1844900 39 6 7
917 0 1839600 42 11 7
918 0 1839904 42 11 3
919 72 1843400 39 6 7
920 108 1844700 39 6 7
921 171 1837905 40 6 7
922 78 1837100 40 6 7
923 114 1833200 41 6 7
924 0 1820900 38 6 7
925 78 1839818 42 11 7
926 72 1842200 39 6 7
927 51 1844600 39 6 7
928 108 1839405 42 11 7
929 123 1840900 39 6 7
930 78 1843301 39 6 7
931 51 1793000 64 2 3
932 9 1839000 42 11 7
933 24 1543300 46 2 2
934 27 1792800 64 11 3
935 198 1838103 40 6 7
936 18 1840800 39 6 7
937 48 1791600 30 2 4
938 84 1839828 42 11 7
939 171 1839514 42 11 7
940 114 1757100 44 12 3
941 105 1757000 44 12 3
942 39 1544700 46 2 2
943 111 1757200 44 12 3
944 63 1757300 44 12 3
945 126 1757902 45 2 3
946 102 1756600 44 12 3
947 129 1756702 44 12 3
948 168 1756900 44 12 3
949 114 1792201 33 2 7
950 111 1532900 50 14 2
951 72 1538800 51 2 2
952 108 1790900 30 2 4
953 12 1528700 50 14 2
954 57 1788100 30 2 4
955 126 1763500 52 13 4
956 75 1788300 30 2 4
957 60 1789200 30 2 4
958 6 1528800 50 14 2
959 105 1788901 66 2 4
960 9 1789101 30 2 4
961 12 1765400 49 13 4
962 135 1772100 47 13 4
963 90 1793700 43 2 4
964 39 1759900 48 22 3
965 90 1764800 47 13 4
966 84 1759700 48 2 4
967 78 1758600 48 12 3
968 42 1538000 51 2 3
969 144 1768300 47 13 4
970 135 1536800 51 14 2
971 120 1770800 54 13 4
972 171 1789600 55 15 4
973 51 1788800 66 13 4
974 204 1771301 52 13 4
975 114 1770500 54 13 4
976 120 1529900 53 14 2
977 60 1530300 53 14 2
978 81 1758800 48 2 3
979 102 1788500 30 15 4
980 42 1769201 54 13 4
981 30 1761801 54 13 4
982 63 1537600 51 14 2
983 36 1537402 53 14 2
984 171 1531200 53 14 2
985 138 1769101 54 13 4
986 150 1531300 53 14 2
987 111 1760400 48 27 4
988 27 1763201 69 16 4
989 78 1537300 51 2 2
990 90 1763100 69 16 4
991 75 1536100 51 14 2
992 93 1761200 48 2 4
993 63 1535501 51 2 2
994 150 1774300 57 2 3
1002 12 1778100 13 2 3
1003 9 1777500 13 2 4
1004 75 1779100 13 2 4
1013 18 2228501 58 2 2
1014 9 1882405 59 2 1
1015 69 1857400 4 2 1
1016 9 2229702 58 2 2
1017 6 1773300 57 2 3
1018 168 1872705 61 1 1
1019 69 1773600 57 2 3
1020 144 1872900 61 1 1
1021 42 1872800 61 1 1
1022 48 1872701 61 1 1
1023 21 1873200 61 1 1
1024 90 1856800 4 1 1
1025 138 1872706 61 1 1
1026 0 1858500 4 2 1
1027 207 1873001 61 1 1
1028 123 1873004 61 1 1
1029 156 1867800 67 1 1
1030 33 1867005 2 1 1
1031 9 2228400 58 2 2
1032 99 1870300 67 1 1
1033 168 1870200 67 1 1
1034 165 1872200 1 1 1
1035 111 1869900 67 1 1
